"Time","Point_01 Monitor: Point_01 Monitor (Pa)","Point_02 Monitor: Point_02 Monitor (Pa)","Point_03 Monitor: Point_03 Monitor (Pa)","Point_04 Monitor: Point_04 Monitor (Pa)","Point_05 Monitor: Point_05 Monitor (Pa)","Point_06 Monitor: Point_06 Monitor (Pa)","Point_07 Monitor: Point_07 Monitor (Pa)","Point_08 Monitor: Point_08 Monitor (Pa)","Point_09 Monitor: Point_09 Monitor (Pa)","Point_10 Monitor: Point_10 Monitor (Pa)","Point_11 Monitor: Point_11 Monitor (Pa)","Point_12 Monitor: Point_12 Monitor (Pa)","Point_13 Monitor: Point_13 Monitor (Pa)","Point_14 Monitor: Point_14 Monitor (Pa)"
10.98999999999981,494049.16190821293,495373.82135739236,492422.4844675913,492574.38336208556,345226.6411830994,166490.35189501656,49484.39095884841,146792.35852491888,45798.855308960825,72404.72340318812,-1204.7770291869306,4988.841340124184,-21575.427578972103,1874.7743096249762
10.99999999999981,494094.7019840086,495396.28351525863,492122.80734779447,492513.15269516874,346757.94096961705,166458.1391703749,52407.25844063873,145060.5999797495,46082.033965730036,73218.96546577814,-954.6877245885782,5124.826890217591,-21480.034759718605,1999.4448394509707
11.00999999999981,494083.24063202547,495234.393960642,491756.0525777301,492328.3450074059,349416.36570486065,166286.28872969706,51883.10022492691,146407.97818274086,45832.735862861475,72771.14292171066,-564.677830400279,5310.047029354626,-21376.30238320433,2146.2009184463777
11.01999999999981,493782.2166112338,494761.54823112674,491137.3216169575,491825.6619102819,352808.22978881677,165998.6580034126,47713.53646259108,150054.82563559597,45324.22674908294,70774.50249467895,-315.46419294229173,5377.854417199337,-21275.320417649677,2268.527684115515
11.02999999999981,493224.8319575319,494212.4024498502,490376.72492026066,491117.34431768826,357334.5298773392,165783.06486029713,42701.57865241439,155731.28976192846,44457.81137465128,67907.67013694385,-57.091080106206824,5419.159019181882,-21191.610775608693,2333.0431260149485
11.039999999999809,492651.8074280753,493750.91681986843,489781.2293143638,490510.9137788722,361374.4934247857,165801.01519337948,38037.50104345963,165817.67918615983,43282.5733935449,64891.395156779145,190.63811052424626,5459.15612726641,-21151.421880684604,2367.322462537232
11.049999999999809,492482.32103715837,493676.15342929756,489686.75471333327,490361.70472606,362725.4848875736,166150.39525678376,35315.71224905351,176143.79480823415,42214.38273722299,61998.07056176752,473.9212425918656,5531.282409339634,-21136.79857701872,2357.802549874217
11.059999999999809,492507.7167426866,493801.8875708754,489834.27885121066,490416.35592011246,359242.07629951846,166333.44207114493,33851.28709390667,185260.19303016123,41388.57523901944,59432.62117737327,576.4257287934463,5487.02761495988,-21142.33728001116,2296.1895622489637
11.069999999999808,492623.2405875434,494115.7565076115,490168.2735523269,490615.1066885773,351491.3709668445,166493.24338913322,32651.05240120677,190785.07338378823,40115.18199204973,56856.57864913503,674.2981802020945,5400.599756319476,-21169.966626699457,2211.6350352113645
11.079999999999808,492590.76124856336,494306.5564314414,490411.5768212594,490758.83037004963,345836.20735428843,166481.6830660834,32033.15296725462,192689.17779717498,38915.53805865155,54001.196405100294,649.3195001749355,5342.756527045105,-21199.93612959267,2111.466464026081
11.089999999999808,492618.8097465526,494494.67794088734,490663.76707974257,490979.9868481103,344100.0230998513,166332.56775848687,32945.30864654839,191933.85823858995,38245.85677923295,51139.33460598891,642.9221594971333,5283.057107655208,-21252.764948449985,1987.4634754874335
11.099999999999808,492672.2361812922,494689.59623370745,490794.9939521689,491216.08757036267,344646.8940618772,166115.7814088588,34165.35991451724,191120.681794265,37937.18868835946,48100.05507981567,612.576765399384,5221.172070965647,-21331.869158434132,1878.9492642453229
11.109999999999808,492677.10017977713,494883.46469114895,490929.8808276019,491477.43008953036,347549.8173985112,166129.19564584014,34256.80868139826,190765.4762309945,37404.54986769608,45583.11707961948,576.2695622801679,5162.84482027915,-21418.704664845696,1775.777196545518
11.119999999999807,492746.32107762276,495104.35846339265,491200.42224913917,491786.9436879081,350481.9567727284,166405.57834547226,33270.05399337071,191545.8854690588,36669.95213858393,43589.81961690135,521.0563324420617,5086.917541393933,-21470.73944760324,1688.01903041646
11.129999999999807,492653.0224770801,495097.4233710363,491285.0550146866,491893.4394319427,351374.6045983915,166717.39705254027,30945.06305666283,192425.92269734832,35409.719731596175,42150.01166576846,467.49689420079704,5030.36758776061,-21484.037808349378,1619.5380093300166
11.139999999999807,491958.9769041998,494430.85698324634,490760.38371878525,491427.4938102191,350931.6350092466,166853.73188205942,26951.944827803487,192459.7669459497,32891.14144022476,40927.417859523346,312.1138962430504,4912.009480813333,-21493.980908563353,1558.3445011494837
11.149999999999807,491499.2993687828,493933.8228658335,490294.00779003446,491056.853591837,350023.85817883426,166808.7802426215,22954.769244166757,191954.30072787826,28502.479588392445,40418.329143305076,234.07675568467056,4814.326579540116,-21541.482571328328,1467.178230580004
11.159999999999807,491270.9005797277,493570.07947022066,489978.0611858912,490812.7524238288,349095.1464008631,166626.90560971905,20187.885081399985,190158.7766310019,22116.517335975794,40347.535461180036,169.71925097417605,4707.0437883727545,-21613.90583990506,1339.1436822346225
11.169999999999806,491254.0462848277,493389.7105694266,489831.81650648493,490746.93606837164,348635.5218907124,166345.01534546653,18362.860006170107,187663.68209643636,16706.04299118299,40510.549821098255,61.279449103515795,4630.756720984852,-21638.063969185707,1243.547457261447
11.179999999999806,491530.4718675294,493538.9407904452,489978.23004878877,490983.05170001974,347607.7288585614,166158.14277117312,18999.999883721764,184583.03688434744,14241.238785930023,40879.84800425345,-6.949043285562385,4585.4974012099965,-21625.7555439104,1186.642216782957
11.189999999999806,491703.45794858807,493549.8213520524,490041.00624518836,491142.71813073277,345065.37406645395,165795.5436319528,20905.357604029225,181559.61639240125,15257.18950789003,41197.29727395673,-165.43456831815854,4522.627132693836,-21638.789316359685,1112.9374834592024
11.199999999999806,492330.46427359944,494003.2209031128,490579.9262807525,491821.69408163877,340944.1278151898,165438.7299786012,22459.62420663728,179363.82845382468,18555.995829792893,41424.86646323365,-392.2771650478468,4440.920339312129,-21709.676752050065,1004.3046248998976
11.209999999999805,493064.1810262174,494581.16942041606,491286.51183980156,492718.47786642966,336892.90752538864,165245.37431137037,25282.074390686685,178411.12316935623,24934.049300960512,41413.45914613539,-714.0857829651186,4360.108214814886,-21782.919271461993,890.2066474921961
11.219999999999805,493369.62470230134,494740.4238266894,491716.31524743827,493261.06507904263,333473.9184533878,165014.8292913825,28159.64638862064,178832.27314198102,29918.47973466919,41133.38380941895,-1109.5728808392423,4276.9551432553735,-21823.783152314383,781.7119011905573
11.229999999999805,493244.4287078838,494543.2034904862,491858.5392770296,493476.7791470281,331074.9384258203,164936.56273447603,31737.968259489913,179931.63941023414,30095.861655256518,40668.5199289156,-1430.1030081148303,4188.502076917252,-21868.361304468523,685.7720625189961
11.239999999999805,492724.43343024905,494003.9978944352,491638.79089274135,493281.48187438375,330132.44997046975,164829.81994519528,33300.6469187207,181291.79386341615,31814.577455536903,40363.789395804204,-1718.3201966713389,4113.305502437696,-21963.815735597145,561.0984151002691
11.249999999999805,492269.28927207843,493509.42205378646,491436.73197280016,493090.14354939625,331483.8779796856,164983.6777556557,32732.30661655043,182088.61316073625,34805.03836666419,40443.18541709225,-1874.8110474667878,4058.4944651583323,-22092.948023228284,433.16480310268
11.259999999999804,491663.24270327913,492833.4006717665,490930.2019140152,492611.564811255,333775.7606191328,165107.06465610405,32032.81802696256,181716.76591489068,34934.75593848858,40582.73261502118,-2074.8801365525587,3990.2120361983066,-22225.67976820509,284.1214543616081
11.269999999999804,491142.34181056876,492188.8980071755,490363.77900339226,492066.27335332544,335999.9032488817,165575.5176321188,31440.670267569738,179386.287832892,33213.65742154123,40863.83157701441,-2211.6435342931472,3938.676528307372,-22374.19731784875,116.74750969927675
11.279999999999804,490514.43972114497,491421.8191899621,489583.18515609385,491336.4788265926,337270.589718903,166016.02930791187,29581.330440229132,174042.99583195988,30705.767517433313,41421.249143542096,-2237.319189065148,3834.503129893199,-22533.39933265948,-64.60517754755205
11.289999999999804,489710.1561363814,490473.0208798219,488552.8801510645,490403.1889767691,337949.6379413305,166271.96152323118,26391.502883613084,166589.63193377556,30871.499233419112,40521.532777395165,-2322.758256067802,3681.213099999645,-22726.03444779875,-255.62721360062764
11.299999999999804,489268.2286695901,489872.1087975141,487864.81665162457,489787.5718518784,338429.7345244988,166775.6238285424,24153.66314388223,159117.04793862117,33157.43031098315,38332.86735180906,-2336.0770209208604,3557.333049734995,-22912.28421681679,-425.2528896694259
11.309999999999803,489216.97328723234,489668.79291466676,487577.7294086936,489571.901494665,339107.9084853347,167383.1452088861,23553.50307152264,152724.55912763468,32715.050982978824,36092.833236920014,-2241.2262573629055,3509.6503669005683,-23049.31082376131,-551.5809498587922
11.319999999999803,489226.9282635243,489637.54240442556,487388.49257374916,489516.7149968519,339220.5217004103,167991.7470679314,24235.75474745458,147605.17899542692,24768.92110645807,35294.63109321423,-2139.6885898207092,3485.711321997641,-23148.364890281704,-645.06053571952
11.329999999999803,488955.3860867813,489419.39303075,487086.846141402,489387.3409321439,337492.2498078322,168613.2038075064,25748.803066343815,144626.29045373024,24097.972638301013,35362.576827886965,-1984.8701113739132,3540.251547729657,-23177.192291810865,-678.6393010789355
11.339999999999803,488702.00964946114,489269.12021721824,486792.6011967399,489355.5864003852,334890.44432984537,169248.2252077926,26405.59778678755,143283.44979151012,26400.42493447228,35015.625318679195,-1804.3873908611304,3660.7579521357047,-23197.54471553701,-688.3827285064953
11.349999999999802,488584.41505604086,489079.237301823,486567.1122359662,489382.15118397743,333220.9615434216,169849.7017359508,26275.84806174596,144023.08727171816,25639.781190338334,34407.610625831425,-1612.257551486789,3741.7569973500085,-23207.305577718755,-696.2483751499509
